ts,rss_mb,frame_ms_ewma,queue_len,queue_cap,queue_dropped,budget_chart,budget_instant,budget_preview,gui_interval_ms,guardrail,background
1773389896.628443,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389898.253076,141.039,0.000,0,24,0,2,2,1,300,0,1
1773389898.253076,141.188,0.000,0,24,0,2,2,1,300,0,1
1773389898.628603,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389900.253422,141.188,0.000,0,24,0,2,2,1,300,0,1
1773389900.628985,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389902.253970,141.188,0.000,0,24,0,2,2,1,300,0,1
1773389902.630121,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389904.253209,141.039,0.000,0,24,0,2,2,1,300,0,1
1773389904.627635,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389906.266723,141.039,0.000,0,24,0,2,2,1,300,0,1
1773389906.629527,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389908.253930,141.039,0.000,0,24,0,2,2,1,300,0,1
1773389908.629517,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389910.253499,141.188,0.000,0,24,0,2,2,1,300,0,1
1773389910.627596,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389912.253217,141.039,0.000,0,24,0,2,2,1,300,0,1
1773389912.253225,141.188,0.000,0,24,0,2,2,1,300,0,1
1773389912.628829,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389914.254285,141.188,0.000,0,24,0,2,2,1,300,0,1
1773389914.628479,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389916.253916,141.039,0.000,0,24,0,2,2,1,300,0,1
1773389916.630102,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389918.253912,141.188,0.000,0,24,0,2,2,1,300,0,1
1773389918.628925,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389920.253554,141.039,0.000,0,24,0,2,2,1,300,0,1
1773389920.628623,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389922.253379,141.188,0.000,0,24,0,2,2,1,300,0,1
1773389922.629189,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389924.253498,141.039,0.000,0,24,0,2,2,1,300,0,1
1773389924.253520,141.188,0.000,0,24,0,2,2,1,300,0,1
1773389924.629464,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389926.253182,141.039,0.000,0,24,0,2,2,1,300,0,1
1773389926.629932,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389928.253526,141.188,0.000,0,24,0,2,2,1,300,0,1
1773389928.629959,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389930.253503,141.039,0.000,0,24,0,2,2,1,300,0,1
1773389930.629384,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389932.253514,141.188,0.000,0,24,0,2,2,1,300,0,1
1773389932.628596,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389934.253422,141.188,0.000,0,24,0,2,2,1,300,0,1
1773389934.253483,141.039,0.000,0,24,0,2,2,1,300,0,1
1773389934.627988,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389936.253311,141.188,0.000,0,24,0,2,2,1,300,0,1
1773389936.629347,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389938.253253,141.039,0.000,0,24,0,2,2,1,300,0,1
1773389938.629143,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389940.253769,141.188,0.000,0,24,0,2,2,1,300,0,1
1773389940.628628,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389942.253539,141.188,0.000,0,24,0,2,2,1,300,0,1
1773389942.628769,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389944.253746,141.188,0.000,0,24,0,2,2,1,300,0,1
1773389944.629136,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389946.253150,141.039,0.000,0,24,0,2,2,1,300,0,1
1773389946.628447,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389948.252924,141.039,0.000,0,24,0,2,2,1,300,0,1
1773389948.628076,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389950.254146,141.039,0.000,0,24,0,2,2,1,300,0,1
1773389950.629155,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389952.253429,141.188,0.000,0,24,0,2,2,1,300,0,1
1773389952.253454,141.039,0.000,0,24,0,2,2,1,300,0,1
1773389952.627517,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389954.253716,141.039,0.000,0,24,0,2,2,1,300,0,1
1773389954.627796,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389956.253312,141.039,0.000,0,24,0,2,2,1,300,0,1
1773389956.629485,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389958.253552,141.039,0.000,0,24,0,2,2,1,300,0,1
1773389958.629050,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389960.253929,141.039,0.000,0,24,0,2,2,1,300,0,1
1773389960.627533,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389962.253841,141.039,0.000,0,24,0,2,2,1,300,0,1
1773389962.628906,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389964.253407,141.188,0.000,0,24,0,2,2,1,300,0,1
1773389964.627423,142.117,0.000,0,24,0,2,2,1,300,0,1
1773389966.253174,141.188,0.000,0,24,0,2,2,1,300,0,1
1773389966.628045,142.117,0.000,0,24,0,2,2,1,300,0,1
